Variant;Woonplaats;Woonplaatscode;Gemeente;Gemeente_code;Provincie;Provincie_code;Landsdeel;Landsdeel_code
oosterleek;Oosterleek;1510;Drechterland;GM0498;Noord-Holland;PV27;West-Nederland;LD03
schellinkhout;Schellinkhout;1511;Drechterland;GM0498;Noord-Holland;PV27;West-Nederland;LD03
venhuizen;Venhuizen;1512;Drechterland;GM0498;Noord-Holland;PV27;West-Nederland;LD03
westwoud;Westwoud;1513;Drechterland;GM0498;Noord-Holland;PV27;West-Nederland;LD03
wijdenes;Wijdenes;1514;Drechterland;GM0498;Noord-Holland;PV27;West-Nederland;LD03
wydenes;Wijdenes;1514;Drechterland;GM0498;Noord-Holland;PV27;West-Nederland;LD03
drimmelen;Drimmelen;2574;Drimmelen;GM1719;Noord-Brabant;PV30;Zuid-Nederland;LD04
hooge zwaluwe;Hooge Zwaluwe;2575;Drimmelen;GM1719;Noord-Brabant;PV30;Zuid-Nederland;LD04
lage zwaluwe;Lage Zwaluwe;2576;Drimmelen;GM1719;Noord-Brabant;PV30;Zuid-Nederland;LD04
made;Made;2577;Drimmelen;GM1719;Noord-Brabant;PV30;Zuid-Nederland;LD04
terheijden;Terheijden;2578;Drimmelen;GM1719;Noord-Brabant;PV30;Zuid-Nederland;LD04
terheyden;Terheijden;2578;Drimmelen;GM1719;Noord-Brabant;PV30;Zuid-Nederland;LD04
wagenberg;Wagenberg;2579;Drimmelen;GM1719;Noord-Brabant;PV30;Zuid-Nederland;LD04
biddinghuizen;Biddinghuizen;2429;Dronten;GM0303;Flevoland;PV24;Oost-Nederland;LD02
dronten;Dronten;2430;Dronten;GM0303;Flevoland;PV24;Oost-Nederland;LD02
swifterbant;Swifterbant;2431;Dronten;GM0303;Flevoland;PV24;Oost-Nederland;LD02
afferden;Afferden;2902;Druten;GM0225;Gelderland;PV25;Oost-Nederland;LD02
deest;Deest;2903;Druten;GM0225;Gelderland;PV25;Oost-Nederland;LD02
druten;Druten;2904;Druten;GM0225;Gelderland;PV25;Oost-Nederland;LD02
horssen;Horssen;2905;Druten;GM0225;Gelderland;PV25;Oost-Nederland;LD02
puiflijk;Puiflijk;2906;Druten;GM0225;Gelderland;PV25;Oost-Nederland;LD02
puiflyk;Puiflijk;2906;Druten;GM0225;Gelderland;PV25;Oost-Nederland;LD02
duiven;Duiven;2096;Duiven;GM0226;Gelderland;PV25;Oost-Nederland;LD02
groessen;Groessen;2097;Duiven;GM0226;Gelderland;PV25;Oost-Nederland;LD02
echt;Echt;2041;Echt-Susteren;GM1711;Limburg;PV31;Zuid-Nederland;LD04
echt-susteren;Echt-Susteren;;Echt-Susteren;GM1711;Limburg;PV31;Zuid-Nederland;LD04
echt susteren;Echt-Susteren;;Echt-Susteren;GM1711;Limburg;PV31;Zuid-Nederland;LD04
koningsbosch;Koningsbosch;2042;Echt-Susteren;GM1711;Limburg;PV31;Zuid-Nederland;LD04
koningsbos;Koningsbosch;2042;Echt-Susteren;GM1711;Limburg;PV31;Zuid-Nederland;LD04
maria hoop;Maria Hoop;2043;Echt-Susteren;GM1711;Limburg;PV31;Zuid-Nederland;LD04
nieuwstadt;Nieuwstadt;2047;Echt-Susteren;GM1711;Limburg;PV31;Zuid-Nederland;LD04
roosteren;Roosteren;2046;Echt-Susteren;GM1711;Limburg;PV31;Zuid-Nederland;LD04
sint joost;Sint Joost;2044;Echt-Susteren;GM1711;Limburg;PV31;Zuid-Nederland;LD04
susteren;Susteren;2045;Echt-Susteren;GM1711;Limburg;PV31;Zuid-Nederland;LD04
edam;Edam;1747;Edam-Volendam;GM0385;Noord-Holland;PV27;West-Nederland;LD03
edam-volendam;Edam-Volendam;;Edam-Volendam;GM0385;Noord-Holland;PV27;West-Nederland;LD03
edam volendam;Edam-Volendam;;Edam-Volendam;GM0385;Noord-Holland;PV27;West-Nederland;LD03
volendam;Volendam;1748;Edam-Volendam;GM0385;Noord-Holland;PV27;West-Nederland;LD03
bennekom;Bennekom;2766;Ede;GM0228;Gelderland;PV25;Oost-Nederland;LD02
de klomp;De Klomp;2770;Ede;GM0228;Gelderland;PV25;Oost-Nederland;LD02
deelen;Deelen;2773;Ede;GM0228;Gelderland;PV25;Oost-Nederland;LD02
ede;Ede;2764;Ede;GM0228;Gelderland;PV25;Oost-Nederland;LD02
ederveen;Ederveen;2769;Ede;GM0228;Gelderland;PV25;Oost-Nederland;LD02
harskamp;Harskamp;2768;Ede;GM0228;Gelderland;PV25;Oost-Nederland;LD02
hoenderloo;Hoenderloo;2772;Ede;GM0228;Gelderland;PV25;Oost-Nederland;LD02
lunteren;Lunteren;2765;Ede;GM0228;Gelderland;PV25;Oost-Nederland;LD02
otterlo;Otterlo;2767;Ede;GM0228;Gelderland;PV25;Oost-Nederland;LD02
wekerom;Wekerom;2771;Ede;GM0228;Gelderland;PV25;Oost-Nederland;LD02
eemnes;Eemnes;1037;Eemnes;GM0317;Utrecht;PV26;West-Nederland;LD03
eemshaven;Eemshaven;3473;Eemsmond;GM1651;Groningen;PV20;Noord-Nederland;LD01
eemsmond;Eemsmond;;Eemsmond;GM1651;Groningen;PV20;Noord-Nederland;LD01
eppenhuizen;Eppenhuizen;3474;Eemsmond;GM1651;Groningen;PV20;Noord-Nederland;LD01
kantens;Kantens;3475;Eemsmond;GM1651;Groningen;PV20;Noord-Nederland;LD01
oldenzijl;Oldenzijl;3476;Eemsmond;GM1651;Groningen;PV20;Noord-Nederland;LD01
oldenzyl;Oldenzijl;3476;Eemsmond;GM1651;Groningen;PV20;Noord-Nederland;LD01
oosternieland;Oosternieland;3477;Eemsmond;GM1651;Groningen;PV20;Noord-Nederland;LD01
oudeschip;Oudeschip;3478;Eemsmond;GM1651;Groningen;PV20;Noord-Nederland;LD01
roodeschool;Roodeschool;3479;Eemsmond;GM1651;Groningen;PV20;Noord-Nederland;LD01
rottum;Rottum;3480;Eemsmond;GM1651;Groningen;PV20;Noord-Nederland;LD01
startenhuizen;Startenhuizen;3481;Eemsmond;GM1651;Groningen;PV20;Noord-Nederland;LD01
stitswerd;Stitswerd;3482;Eemsmond;GM1651;Groningen;PV20;Noord-Nederland;LD01
uithuizen;Uithuizen;3483;Eemsmond;GM1651;Groningen;PV20;Noord-Nederland;LD01
uithuizermeeden;Uithuizermeeden;3484;Eemsmond;GM1651;Groningen;PV20;Noord-Nederland;LD01
usquert;Usquert;3485;Eemsmond;GM1651;Groningen;PV20;Noord-Nederland;LD01
warffum;Warffum;3486;Eemsmond;GM1651;Groningen;PV20;Noord-Nederland;LD01
zandeweer;Zandeweer;3487;Eemsmond;GM1651;Groningen;PV20;Noord-Nederland;LD01
duizel;Duizel;2992;Eersel;GM0770;Noord-Brabant;PV30;Zuid-Nederland;LD04
eersel;Eersel;2993;Eersel;GM0770;Noord-Brabant;PV30;Zuid-Nederland;LD04
knegsel;Knegsel;2994;Eersel;GM0770;Noord-Brabant;PV30;Zuid-Nederland;LD04
steensel;Steensel;2995;Eersel;GM0770;Noord-Brabant;PV30;Zuid-Nederland;LD04
vessem;Vessem;2996;Eersel;GM0770;Noord-Brabant;PV30;Zuid-Nederland;LD04
wintelre;Wintelre;2997;Eersel;GM0770;Noord-Brabant;PV30;Zuid-Nederland;LD04
banholt;Banholt;1690;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
bemelen;Bemelen;1691;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
cadier en keer;Cadier en Keer;1692;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
cadier & keer;Cadier en Keer;1692;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
cadier&keer;Cadier en Keer;1692;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
eckelrade;Eckelrade;1693;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
eijsden;Eijsden;1700;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
eysden;Eijsden;1700;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
eijsden-margraten;Eijsden-Margraten;;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
eysden-margraten;Eijsden-Margraten;;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
eijsden margraten;Eijsden-Margraten;;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
eysden margraten;Eijsden-Margraten;;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
gronsveld;Gronsveld;1701;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
margraten;Margraten;1694;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
mheer;Mheer;1695;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
noorbeek;Noorbeek;1696;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
scheulder;Scheulder;1697;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
sint geertruid;Sint Geertruid;1698;Eijsden-Margraten;GM1903;Limburg;PV31;Zuid-Nederland;LD04
eindhoven;Eindhoven;1101;Eindhoven;GM0772;Noord-Brabant;PV30;Zuid-Nederland;LD04
't harde;'t Harde;1845;Elburg;GM0230;Gelderland;PV25;Oost-Nederland;LD02
t harde;'t Harde;1845;Elburg;GM0230;Gelderland;PV25;Oost-Nederland;LD02
het harde;'t Harde;1845;Elburg;GM0230;Gelderland;PV25;Oost-Nederland;LD02
doornspijk;Doornspijk;1846;Elburg;GM0230;Gelderland;PV25;Oost-Nederland;LD02
doornspyk;Doornspijk;1846;Elburg;GM0230;Gelderland;PV25;Oost-Nederland;LD02
elburg;Elburg;1844;Elburg;GM0230;Gelderland;PV25;Oost-Nederland;LD02
barger-compascuum;Barger-Compascuum;1987;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
barger compascuum;Barger-Compascuum;1987;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
emmen;Emmen;1988;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
emmer-compascuum;Emmer-Compascuum;1989;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
emmer compascuum;Emmer-Compascuum;1989;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
erica;Erica;1990;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
klazienaveen;Klazienaveen;1991;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
klazienaveen-noord;Klazienaveen-Noord;1992;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
klazienaveen noord;Klazienaveen-Noord;1992;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
nieuw-amsterdam;Nieuw-Amsterdam;1993;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
nieuw amsterdam;Nieuw-Amsterdam;1993;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
nieuw-dordrecht;Nieuw-Dordrecht;1994;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
nieuw dordrecht;Nieuw-Dordrecht;1994;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
nieuw-schoonebeek;Nieuw-Schoonebeek;1995;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
nieuw schoonebeek;Nieuw-Schoonebeek;1995;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
nieuw-weerdinge;Nieuw-Weerdinge;1996;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
nieuw weerdinge;Nieuw-Weerdinge;1996;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
roswinkel;Roswinkel;1997;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
schoonebeek;Schoonebeek;1998;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
veenoord;Veenoord;1999;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
weiteveen;Weiteveen;2000;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
zandpol;Zandpol;2001;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
zwartemeer;Zwartemeer;2002;Emmen;GM0114;Drenthe;PV22;Noord-Nederland;LD01
enkhuizen;Enkhuizen;2754;Enkhuizen;GM0388;Noord-Holland;PV27;West-Nederland;LD03
enschede;Enschede;1145;Enschede;GM0153;Overijssel;PV23;Oost-Nederland;LD02
emst;Emst;1346;Epe;GM0232;Gelderland;PV25;Oost-Nederland;LD02
epe;Epe;1344;Epe;GM0232;Gelderland;PV25;Oost-Nederland;LD02
oene;Oene;1347;Epe;GM0232;Gelderland;PV25;Oost-Nederland;LD02
vaassen;Vaassen;1345;Epe;GM0232;Gelderland;PV25;Oost-Nederland;LD02
ermelo;Ermelo;2573;Ermelo;GM0233;Gelderland;PV25;Oost-Nederland;LD02
etten-leur;Etten-Leur;1010;Etten-Leur;GM0777;Noord-Brabant;PV30;Zuid-Nederland;LD04
etten leur;Etten-Leur;1010;Etten-Leur;GM0777;Noord-Brabant;PV30;Zuid-Nederland;LD04
blije;Blije;3199;Ferwerderadiel;GM1722;Friesland;PV21;Noord-Nederland;LD01
blye;Blije;3199;Ferwerderadiel;GM1722;Friesland;PV21;Noord-Nederland;LD01
burdaard;Burdaard;3200;Ferwerderadiel;GM1722;Friesland;PV21;Noord-Nederland;LD01
ferwerderadiel;Ferwerderadiel;;Ferwerderadiel;GM1722;Friesland;PV21;Noord-Nederland;LD01
ferwert;Ferwert;3201;Ferwerderadiel;GM1722;Friesland;PV21;Noord-Nederland;LD01
ginnum;Ginnum;3202;Ferwerderadiel;GM1722;Friesland;PV21;Noord-Nederland;LD01
hallum;Hallum;3203;Ferwerderadiel;GM1722;Friesland;PV21;Noord-Nederland;LD01
hegebeintum;Hegebeintum;3204;Ferwerderadiel;GM1722;Friesland;PV21;Noord-Nederland;LD01
jannum;Jannum;3205;Ferwerderadiel;GM1722;Friesland;PV21;Noord-Nederland;LD01
jislum;Jislum;3206;Ferwerderadiel;GM1722;Friesland;PV21;Noord-Nederland;LD01
lichtaard;Lichtaard;3207;Ferwerderadiel;GM1722;Friesland;PV21;Noord-Nederland;LD01
marrum;Marrum;3208;Ferwerderadiel;GM1722;Friesland;PV21;Noord-Nederland;LD01
reitsum;Reitsum;3209;Ferwerderadiel;GM1722;Friesland;PV21;Noord-Nederland;LD01
wânswert;Wânswert;3210;Ferwerderadiel;GM1722;Friesland;PV21;Noord-Nederland;LD01
wnswert;Wânswert;3210;Ferwerderadiel;GM1722;Friesland;PV21;Noord-Nederland;LD01
wanswert;Wânswert;3210;Ferwerderadiel;GM1722;Friesland;PV21;Noord-Nederland;LD01
achlum;Achlum;1364;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
boer;Boer;1371;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
dongjum;Dongjum;1372;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
firdgum;Firdgum;1378;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
franeker;Franeker;1366;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
franekeradeel;Franekeradeel;;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
herbaijum;Herbaijum;1365;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
herbayum;Herbaijum;1365;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
hitzum;Hitzum;1363;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
klooster lidlum;Klooster Lidlum;1376;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
oosterbierum;Oosterbierum;1375;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
peins;Peins;1368;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
pietersbierum;Pietersbierum;1374;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
ried;Ried;1370;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
schalsum;Schalsum;1369;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
sexbierum;Sexbierum;1373;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
tzum;Tzum;1362;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
tzummarum;Tzummarum;1377;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
zweins;Zweins;1367;Franekeradeel;GM0070;Friesland;PV21;Noord-Nederland;LD01
geertruidenberg;Geertruidenberg;1751;Geertruidenberg;GM0779;Noord-Brabant;PV30;Zuid-Nederland;LD04
raamsdonk;Raamsdonk;1752;Geertruidenberg;GM0779;Noord-Brabant;PV30;Zuid-Nederland;LD04
raamsdonksveer;Raamsdonksveer;1750;Geertruidenberg;GM0779;Noord-Brabant;PV30;Zuid-Nederland;LD04
acquoy;Acquoy;3527;Geldermalsen;GM0236;Gelderland;PV25;Oost-Nederland;LD02
beesd;Beesd;3213;Geldermalsen;GM0236;Gelderland;PV25;Oost-Nederland;LD02
buurmalsen;Buurmalsen;3532;Geldermalsen;GM0236;Gelderland;PV25;Oost-Nederland;LD02
deil;Deil;3217;Geldermalsen;GM0236;Gelderland;PV25;Oost-Nederland;LD02
enspijk;Enspijk;3216;Geldermalsen;GM0236;Gelderland;PV25;Oost-Nederland;LD02
enspyk;Enspijk;3216;Geldermalsen;GM0236;Gelderland;PV25;Oost-Nederland;LD02
geldermalsen;Geldermalsen;3529;Geldermalsen;GM0236;Gelderland;PV25;Oost-Nederland;LD02
gellicum;Gellicum;3214;Geldermalsen;GM0236;Gelderland;PV25;Oost-Nederland;LD02
meteren;Meteren;3530;Geldermalsen;GM0236;Gelderland;PV25;Oost-Nederland;LD02
rhenoy;Rhenoy;3528;Geldermalsen;GM0236;Gelderland;PV25;Oost-Nederland;LD02
rumpt;Rumpt;3215;Geldermalsen;GM0236;Gelderland;PV25;Oost-Nederland;LD02
tricht;Tricht;3531;Geldermalsen;GM0236;Gelderland;PV25;Oost-Nederland;LD02
geldrop;Geldrop;1126;Geldrop-Mierlo;GM1771;Noord-Brabant;PV30;Zuid-Nederland;LD04
geldrop-mierlo;Geldrop-Mierlo;;Geldrop-Mierlo;GM1771;Noord-Brabant;PV30;Zuid-Nederland;LD04
geldrop mierlo;Geldrop-Mierlo;;Geldrop-Mierlo;GM1771;Noord-Brabant;PV30;Zuid-Nederland;LD04
mierlo;Mierlo;1127;Geldrop-Mierlo;GM1771;Noord-Brabant;PV30;Zuid-Nederland;LD04
bakel;Bakel;2090;Gemert-Bakel;GM1652;Noord-Brabant;PV30;Zuid-Nederland;LD04
de mortel;De Mortel;2093;Gemert-Bakel;GM1652;Noord-Brabant;PV30;Zuid-Nederland;LD04
de rips;De Rips;2094;Gemert-Bakel;GM1652;Noord-Brabant;PV30;Zuid-Nederland;LD04
elsendorp;Elsendorp;2095;Gemert-Bakel;GM1652;Noord-Brabant;PV30;Zuid-Nederland;LD04
gemert;Gemert;2089;Gemert-Bakel;GM1652;Noord-Brabant;PV30;Zuid-Nederland;LD04
gemert-bakel;Gemert-Bakel;;Gemert-Bakel;GM1652;Noord-Brabant;PV30;Zuid-Nederland;LD04
gemert bakel;Gemert-Bakel;;Gemert-Bakel;GM1652;Noord-Brabant;PV30;Zuid-Nederland;LD04
handel;Handel;2092;Gemert-Bakel;GM1652;Noord-Brabant;PV30;Zuid-Nederland;LD04
milheeze;Milheeze;2091;Gemert-Bakel;GM1652;Noord-Brabant;PV30;Zuid-Nederland;LD04
gennep;Gennep;2482;Gennep;GM0907;Limburg;PV31;Zuid-Nederland;LD04
heijen;Heijen;2483;Gennep;GM0907;Limburg;PV31;Zuid-Nederland;LD04
heyen;Heijen;2483;Gennep;GM0907;Limburg;PV31;Zuid-Nederland;LD04
milsbeek;Milsbeek;2479;Gennep;GM0907;Limburg;PV31;Zuid-Nederland;LD04
ottersum;Ottersum;2480;Gennep;GM0907;Limburg;PV31;Zuid-Nederland;LD04
ven-zelderheide;Ven-Zelderheide;2481;Gennep;GM0907;Limburg;PV31;Zuid-Nederland;LD04
ven zelderheide;Ven-Zelderheide;2481;Gennep;GM0907;Limburg;PV31;Zuid-Nederland;LD04
arkel;Arkel;1432;Giessenlanden;GM0689;Zuid-Holland;PV28;West-Nederland;LD03
giessenburg;Giessenburg;1433;Giessenlanden;GM0689;Zuid-Holland;PV28;West-Nederland;LD03
giessenlanden;Giessenlanden;;Giessenlanden;GM0689;Zuid-Holland;PV28;West-Nederland;LD03
hoogblokland;Hoogblokland;1434;Giessenlanden;GM0689;Zuid-Holland;PV28;West-Nederland;LD03
hoornaar;Hoornaar;1435;Giessenlanden;GM0689;Zuid-Holland;PV28;West-Nederland;LD03
noordeloos;Noordeloos;1436;Giessenlanden;GM0689;Zuid-Holland;PV28;West-Nederland;LD03
schelluinen;Schelluinen;1437;Giessenlanden;GM0689;Zuid-Holland;PV28;West-Nederland;LD03
gilze;Gilze;2067;Gilze en Rijen;GM0784;Noord-Brabant;PV30;Zuid-Nederland;LD04
gilze en rijen;Gilze en Rijen;;Gilze en Rijen;GM0784;Noord-Brabant;PV30;Zuid-Nederland;LD04
gilze en ryen;Gilze en Rijen;;Gilze en Rijen;GM0784;Noord-Brabant;PV30;Zuid-Nederland;LD04
gilze & rijen;Gilze en Rijen;;Gilze en Rijen;GM0784;Noord-Brabant;PV30;Zuid-Nederland;LD04
gilze & ryen;Gilze en Rijen;;Gilze en Rijen;GM0784;Noord-Brabant;PV30;Zuid-Nederland;LD04
gilze&rijen;Gilze en Rijen;;Gilze en Rijen;GM0784;Noord-Brabant;PV30;Zuid-Nederland;LD04
gilze&ryen;Gilze en Rijen;;Gilze en Rijen;GM0784;Noord-Brabant;PV30;Zuid-Nederland;LD04
hulten;Hulten;2068;Gilze en Rijen;GM0784;Noord-Brabant;PV30;Zuid-Nederland;LD04
molenschot;Molenschot;2069;Gilze en Rijen;GM0784;Noord-Brabant;PV30;Zuid-Nederland;LD04
rijen;Rijen;2070;Gilze en Rijen;GM0784;Noord-Brabant;PV30;Zuid-Nederland;LD04
ryen;Rijen;2070;Gilze en Rijen;GM0784;Noord-Brabant;PV30;Zuid-Nederland;LD04
achthuizen;Achthuizen;2131;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
den bommel;Den Bommel;2132;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
dirksland;Dirksland;2377;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
goedereede;Goedereede;2931;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
goeree-overflakkee;Goeree-Overflakkee;;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
goeree overflakkee;Goeree-Overflakkee;;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
herkingen;Herkingen;2378;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
melissant;Melissant;2379;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
middelharnis;Middelharnis;3143;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
nieuwe-tonge;Nieuwe-Tonge;3144;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
nieuwe tonge;Nieuwe-Tonge;3144;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
ooltgensplaat;Ooltgensplaat;2133;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
ouddorp;Ouddorp;2932;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
oude-tonge;Oude-Tonge;2134;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
oude tonge;Oude-Tonge;2134;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
sommelsdijk;Sommelsdijk;3145;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
sommelsdyk;Sommelsdijk;3145;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
stad aan 't haringvliet;Stad aan 't Haringvliet;3146;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
stad aan t haringvliet;Stad aan 't Haringvliet;3146;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
stad aan het haringvliet;Stad aan 't Haringvliet;3146;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
stad ah haringvliet;Stad aan 't Haringvliet;3146;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
stad a/h haringvliet;Stad aan 't Haringvliet;3146;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
stellendam;Stellendam;2933;Goeree-Overflakkee;GM1924;Zuid-Holland;PV28;West-Nederland;LD03
's-heer arendskerke;'s-Heer Arendskerke;1822;Goes;GM0664;Zeeland;PV29;West-Nederland;LD03
s heer arendskerke;'s-Heer Arendskerke;1822;Goes;GM0664;Zeeland;PV29;West-Nederland;LD03
sheer arendskerke;'s-Heer Arendskerke;1822;Goes;GM0664;Zeeland;PV29;West-Nederland;LD03
's-heer hendrikskinderen;'s-Heer Hendrikskinderen;1823;Goes;GM0664;Zeeland;PV29;West-Nederland;LD03
s heer hendrikskinderen;'s-Heer Hendrikskinderen;1823;Goes;GM0664;Zeeland;PV29;West-Nederland;LD03
sheer hendrikskinderen;'s-Heer Hendrikskinderen;1823;Goes;GM0664;Zeeland;PV29;West-Nederland;LD03
goes;Goes;1824;Goes;GM0664;Zeeland;PV29;West-Nederland;LD03
kattendijke;Kattendijke;1825;Goes;GM0664;Zeeland;PV29;West-Nederland;LD03
kattendyke;Kattendijke;1825;Goes;GM0664;Zeeland;PV29;West-Nederland;LD03
wilhelminadorp;Wilhelminadorp;1827;Goes;GM0664;Zeeland;PV29;West-Nederland;LD03
wolphaartsdijk;Wolphaartsdijk;1828;Goes;GM0664;Zeeland;PV29;West-Nederland;LD03
wolphaartsdyk;Wolphaartsdijk;1828;Goes;GM0664;Zeeland;PV29;West-Nederland;LD03
goirle;Goirle;2880;Goirle;GM0785;Noord-Brabant;PV30;Zuid-Nederland;LD04
riel;Riel;2881;Goirle;GM0785;Noord-Brabant;PV30;Zuid-Nederland;LD04
dalem;Dalem;2300;Gorinchem;GM0512;Zuid-Holland;PV28;West-Nederland;LD03
gorinchem;Gorinchem;2299;Gorinchem;GM0512;Zuid-Holland;PV28;West-Nederland;LD03
gouda;Gouda;1005;Gouda;GM0513;Zuid-Holland;PV28;West-Nederland;LD03
escharen;Escharen;3195;Grave;GM0786;Noord-Brabant;PV30;Zuid-Nederland;LD04
gassel;Gassel;3196;Grave;GM0786;Noord-Brabant;PV30;Zuid-Nederland;LD04
grave;Grave;3197;Grave;GM0786;Noord-Brabant;PV30;Zuid-Nederland;LD04
velp;Velp;3198;Grave;GM0786;Noord-Brabant;PV30;Zuid-Nederland;LD04
berg en dal;Berg en Dal;2873;Groesbeek;GM0241;Gelderland;PV25;Oost-Nederland;LD02
berg & dal;Berg en Dal;2873;Groesbeek;GM0241;Gelderland;PV25;Oost-Nederland;LD02
berg&dal;Berg en Dal;2873;Groesbeek;GM0241;Gelderland;PV25;Oost-Nederland;LD02
erlecom;Erlecom;2874;Groesbeek;GM0241;Gelderland;PV25;Oost-Nederland;LD02
